대분류,중분류,소분류,위도,경도,지점코드
서울특별시,마포구,서강동,37.54444722,126.9341556,1144065500
서울특별시,마포구,서교동,37.54965556,126.922975,1144066000
서울특별시,마포구,성산제1동,37.56058333,126.9100222,1144072000
서울특별시,마포구,성산제2동,37.56593056,126.9111528,1144073000
서울특별시,마포구,신수동,37.54406667,126.9366417,1144063000
서울특별시,마포구,아현동,37.54434444,126.9542222,1144055500
서울특별시,마포구,연남동,37.56169444,126.9240667,1144071000
서울특별시,마포구,염리동,37.54438611,126.9477194,1144061000
서울특별시,마포구,용강동,37.53924722,126.9437333,1144059000
서울특별시,마포구,합정동,37.54672222,126.9077528,1144068000
